codigo_ibge,anomes_s,cebas_cnpj_entidade_s,cebas_razao_social_entidade_s,cebas_status_certificacao_s,cebas_cod_status_certificacao_i,cebas_dt_inicio_certificacao_s,cebas_dt_fim_certificacao_s,cebas_dt_extracao_dados_s
355030,202410,10.013.459/0001-83,CASARÃO BRASIL  ASSOCIAÇÃO LGBTI,VIGENTE,2,21/10/2021,31/12/2025,24/10/2024
510760,202410,10.014.318/0001-85,ASSOCIAÇÃO KOBLENZ BRASIL - KOBRA,VIGENTE,2,02/08/2019,31/12/2025,24/10/2024
421840,202410,01.002.408/0001-65,APAE - ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE TREZE DE MAIO (SC),VIGENTE,2,08/03/2019,31/12/2025,24/10/2024
317010,202410,01.007.714/0001-94,ORGANIZACAO DOS AMIGOS SOLIDARIOS A INF E A SAUDE-OASIS,VIGENTE,2,19/12/2019,31/12/2025,24/10/2024
410940,202410,01.009.617/0001-30,INSTITUTO DE AÇÃO SOCIAL JOÃO PAULO II,VIGENTE,2,28/09/2021,27/09/2026,24/10/2024
260600,202410,10.136.752/0001-38,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,VIGENTE,2,02/05/2021,31/12/2025,24/10/2024
355030,202410,01.014.623/0001-86,ASSOCIAÇÃO DE VOLUNTÁRIOS INTEGRADOS NO BRASIL AVIB,VIGENTE,2,08/12/2021,31/12/2025,24/10/2024
314220,202410,01.014.905/0001-83,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS APAE - MIRAÍ - MG,VIGENTE,2,25/07/2019,31/12/2025,24/10/2024
280670,202410,10.157.910/0001-36,ASSOCIAÇÃO LAR ESMERALDA,VIGENTE,2,31/07/2020,31/12/2026,24/10/2024
230730,202410,10.171.888/0001-89,COMUNIDADE ZAÍLA LAVOR,VIGENTE,2,16/05/2023,15/05/2026,24/10/2024
421360,202410,10.201.460/0001-31,ASSOCIAÇÃO FAMÍLIA ZALEWSKI CASA DE APOIO AMOR FRATERNO,VIGENTE,2,13/05/2022,12/05/2027,24/10/2024
411990,202410,01.020.943/0001-49,ASSOCIAÇÃO REVIVER DE ASSISTÊNCIA AO PORTADOR DO VIRUS HIV,VIGENTE,2,06/06/2019,31/12/2025,24/10/2024
320290,202410,01.023.093/0001-32,ASSOCIAÇÃO PESTALOZZI DE ITARANA,VIGENTE,2,10/11/2021,31/12/2027,24/10/2024
310010,202410,00.102.575/0001-15,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,VIGENTE,2,28/05/2020,31/12/2026,24/10/2024
355040,202410,10.262.686/0001-42,PROGRAMA DE AUXILIO E INTEGRAÇÃO SOCIAL,VIGENTE,2,26/06/2020,31/12/2024,24/10/2024
430440,202410,10.263.245/0001-65,ASSOCIAÇÃO EVANGELICA BENEFICENTE ROSA DE SAROM,VIGENTE,2,21/12/2021,20/12/2026,24/10/2024
261160,202410,10.271.915/0001-95,INSTITUTO TRAVESSIA,VIGENTE,2,16/05/2023,15/05/2026,24/10/2024
317170,202410,01.028.303/0001-85,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE VIRGÍNIA,VIGENTE,2,18/06/2022,17/06/2027,24/10/2024
316240,202410,01.028.475/0001-59,ASSOCIAÇÃO COMUNITÁRIA QUILOMBOLA DE VEREDA VIANA,VIGENTE,2,07/12/2022,06/12/2025,24/10/2024
292860,202410,10.289.214/0001-83,ASSOCIAÇÃO HAND SOCIAL,VIGENTE,2,03/03/2020,31/12/2026,24/10/2024
317120,202410,01.029.147/0001-77,ASPAV - ACAO SOCIAL DA PAROQUIA DE VESPASIANO,VIGENTE,2,02/12/2021,01/12/2026,24/10/2024
530010,202410,00.102.921/0001-65,INSTITUTO DOM ORIONE,VIGENTE,2,01/01/2021,31/12/2024,24/10/2024
353080,202410,10.297.862/0001-81,ASSOCIAÇÃO JESUINO MARCOS MAGUILA,VIGENTE,2,30/06/2019,31/12/2025,24/10/2024
311860,202410,10.305.260/0001-29,CASA LAR BALBINA MARIA DE JESUS,VIGENTE,2,02/02/2019,31/12/2025,24/10/2024
410425,202410,10.311.690/0001-53,ASSOCIAÇÃO ITA WEGMAN,VIGENTE,2,07/12/2022,06/12/2025,24/10/2024
260640,202410,10.313.674/0001-08,OBRA DE DEFESA DA INFÂNCIA POBRE,VIGENTE,2,27/12/2020,31/12/2026,24/10/2024
420200,202410,10.315.405/0001-72,CENTRO DE SOLIDARIEDADE AS FAMLIAS CARENTES E PORTADORES DE DOENCAS DEGENERATIVAS - FACDD,VIGENTE,2,30/07/2020,31/12/2024,24/10/2024
431490,202410,10.320.723/0001-21,INSTITUTO PRÓ-SAÚDE - IPS,VIGENTE,2,05/08/2022,04/08/2025,24/10/2024
421917,202410,10.324.639/0001-86,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE VARGEM BONITA - SC - APAE,VIGENTE,2,18/12/2018,31/12/2024,24/10/2024
353350,202410,10.337.091/0001-09,ASSOCIAÇÃO TESHUVÁ,VÁLIDA,1,28/08/2021,27/08/2024,24/10/2024
351550,202410,10.346.002/0001-90,"""INSTITUTO DE DESENVOLVIMENTO PESSOAL E SOCIAL """"OS SONHADORES""""""",VIGENTE,2,06/06/2019,31/12/2025,24/10/2024
311860,202410,01.037.710/0001-59,ASSOCIAÇÃO DOS MORADORES E AMIGOS DE NOVA CONTAGEM E ADJACÊNCIAS - AMANCA,VÁLIDA,1,22/12/2017,31/12/2023,24/10/2024
261070,202410,10.386.914/0001-96,LAR DE ACOLHIMENTO E REINTEGRAÇÃO MANÁ,VÁLIDA,1,05/12/2019,31/12/2023,24/10/2024
352210,202410,10.396.726/0001-49,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ITANHAÉM,VIGENTE,2,30/11/2021,31/12/2027,24/10/2024
354140,202410,10.408.921/0001-41,ASSOCIAÇÃO O AMOR É A RESPOSTA,VIGENTE,2,03/09/2018,31/12/2024,24/10/2024
421710,202410,00.104.137/0001-96,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SÃO MARTINHO,VIGENTE,2,01/04/2018,31/12/2024,24/10/2024
314410,202410,10.418.198/0001-81,ASSOCIAÇÃO CASA LAR DE MUZAMBINHO,VIGENTE,2,30/07/2021,31/12/2027,24/10/2024
280030,202410,10.419.634/0001-37,INSTITUTO RAHAMIM,VIGENTE,2,27/03/2021,26/03/2026,24/10/2024
260790,202410,10.424.810/0001-29,OBRA DE ASSISTÊNCIA AOS MENDIGOS E MENORES DESAMPARADOS DA CIDADE DO RECIFE (ABRIGO CRISTO REDENTOR),VIGENTE,2,31/03/2020,31/12/2024,24/10/2024
311860,202410,10.428.184/0001-49,INSTITUTO MARUM PATRUS,VIGENTE,2,12/04/2024,11/04/2027,24/10/2024
353800,202410,10.430.790/0001-07,IA3 INSTITUTO DE APOIO AO DESENVOLVIMENTO HUMANO A ARTES E APRENDIZAGEM,VIGENTE,2,30/07/2021,31/12/2025,24/10/2024
412405,202410,00.104.371/0001-13,CENTRO DE APOIO AGRÍCOLA E CONVIVÊNCIA DA CRIANÇA E DO ADOLESCENTE MEU CANTINHO,VIGENTE,2,31/03/2020,31/12/2024,24/10/2024
250750,202410,10.441.470/0001-44,FUNDAÇÃO SÃO PADRE PIO DE PIETRELCINA,VIGENTE,2,29/05/2021,31/12/2025,24/10/2024
310280,202410,10.444.500/0001-76,SOCIEDADE BENEFICENTE SAO JOSE DE ANDRELANDIA,VÁLIDA,1,14/08/2019,31/12/2023,24/10/2024
420910,202410,10.447.952/0001-01,CASA DA VÓ JOAQUINA,VIGENTE,2,08/12/2021,31/12/2025,24/10/2024
355220,202410,10.449.314/0001-20,ASSOCIAÇÃO BENEFICENTE LAR FRATERNO IRMÃ DOLORES,VIGENTE,2,24/08/2020,23/08/2025,24/10/2024
230440,202410,10.461.929/0001-71,ASSOCIAÇÃO FAMILIAR DO PARQUE AGUA FRIA,VIGENTE,2,21/11/2019,31/12/2025,24/10/2024
230760,202410,10.488.161/0001-20,PROJETO PAZ E UNIÃO,VIGENTE,2,30/01/2018,31/12/2024,24/10/2024
230370,202410,10.490.688/0001-99,PROJETO GUADALAJARA,VIGENTE,2,19/11/2020,31/12/2026,24/10/2024
230370,202410,10.490.977/0001-98,PROJETO ALEGRIA DA CRIANÇA,VIGENTE,2,25/03/2021,31/12/2027,24/10/2024
411690,202410,10.496.066/0001-78,ASSOCIAÇÃO NINHO DA ÁGUIA,VIGENTE,2,06/11/2018,31/12/2024,24/10/2024
412035,202410,01.050.017/0001-16,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE PRANCHITA,VIGENTE,2,19/08/2021,31/12/2027,24/10/2024
350570,202410,10.503.748/0001-60,INSTITUTO BARUERI PARAOLIMPICO,VIGENTE,2,02/12/2018,31/12/2024,24/10/2024
